"invoice_id","supplier_id","supplier_name","supplier_tax_id","invoice_number","invoice_date","invoice_due_date","invoice_submission_date","invoice_amount","currency","payment_date","payment_amount","payment_method","payment_reference","payment_status","days_to_payment","is_overdue","created_at","updated_at"
"INV-00025","SUP-00022","Eastern Engineering Ltd.","US606060606","EEL-2024-005","2024-03-02","2024-03-17","2024-03-03","890","USD","","","","","pending","","false","2024-03-03T09:45:00","2024-03-03T09:45:00"
"INV-00026","SUP-00023","Helios Solar Systems","US777888999","HSS-INV-24-03","2024-03-05","2024-04-04","2024-03-06","37500","USD","2024-04-07","37500","bank_transfer","TRX20240407H","paid","32","true","2024-03-06T08:10:12","2024-04-07T15:15:15"
"INV-00027","SUP-00024","Metro Logistics","US888888888","ML-2024-06","2024-03-08","2024-03-23","2024-03-09","620","USD","2024-03-19","620","cash","TRX20240319M","paid","10","false","2024-03-09T09:09:09","2024-03-19T10:11:12"
"INV-00028","SUP-00025","Kinetic Construction","US444555666","KC-2403-001","2024-03-10","2024-03-25","2024-03-11","83000","USD","","","","","overdue","","true","2024-03-11T12:20:30","2024-04-10T09:55:41"
"INV-00029","SUP-00026","MediCore Devices","US888123456","MC-2024-07","2024-03-13","2024-03-28","2024-03-14","1570","USD","2024-03-24","1570","credit_card","CC20240324M","paid","10","false","2024-03-14T08:41:34","2024-03-24T10:03:12"
"INV-00030","SUP-00027","Infinite Paper Co.","","IPC-2024-002","2024-03-16","2024-03-31","2024-03-17","48","USD","","","","","cancelled","","false","2024-03-17T14:50:00","2024-03-17T14:50:00"
"INV-00031","SUP-00028","Alpine Waterworks","SE334411220","AW-2024-04","2024-03-19","2024-04-03","2024-03-20","14600","SEK","2024-04-10","14600","bank_transfer","TRXSE2410A","paid","21","true","2024-03-20T13:24:15","2024-04-10T16:15:00"
"INV-00032","SUP-00029","Orion Industrial","US999888111","OI-2024-03","2024-03-22","2024-04-21","2024-03-23","950","USD","2024-04-01","500","other","PAY-240401","partial","9","false","2024-03-23T08:44:41","2024-04-01T09:51:31"
"INV-00033","SUP-00030","Synergy Foods Pvt. Ltd.","IN765432190","SFP-2024-007","2024-03-25","2024-04-09","2024-03-26","101200","INR","2024-04-10","101200","bank_transfer","PAY-240410","paid","15","true","2024-03-26T09:12:59","2024-04-10T11:23:10"
"INV-00034","SUP-00031","FreightXpress Ltd.","US101010101","FXL-2024-03A","2024-03-28","2024-04-12","2024-03-29","1450","USD","","","","","pending","","false","2024-03-29T10:10:10","2024-03-29T10:10:10"
"INV-00035","SUP-00032","Sunshine Cleaning Co.","","SCC-2024-04","2024-04-01","2024-04-16","2024-04-02","90","USD","","","","","cancelled","","false","2024-04-02T14:32:10","2024-04-02T14:32:10"
"INV-00036","SUP-00033","Tokyo Foods Corp.","JP123456789","TFC-2024-008","2024-04-04","2024-04-19","2024-04-05","780000","JPY","","","","","overdue","","true","2024-04-05T09:45:10","2024-05-01T10:00:00"
"INV-00037","SUP-00034","SmartPrint Solutions","US141516171","SPS-2024-001","2024-04-07","2024-04-22","2024-04-08","185","USD","2024-04-12","185","cash","TRX20240412S","paid","4","false","2024-04-08T13:12:10","2024-04-12T15:20:21"
"INV-00038","SUP-00035","Horizon Pharma","US987654321","HP-2024-03","2024-04-10","2024-04-25","2024-04-11","13400","USD","2024-04-26","13400","check","CHK20240426H","paid","15","true","2024-04-11T10:14:22","2024-04-26T11:38:45"
"INV-00039","SUP-00036","Celtic Shipping Ltd.","IE345621980","CSL-2024-01","2024-04-13","2024-05-13","2024-04-15","145500","EUR","","","","","overdue","","true","2024-04-15T08:30:10","2024-05-15T09:55:55"
"INV-00040","SUP-00037","Star City Electronics","US234567890","SCE-2024-02","2024-04-16","2024-05-01","2024-04-17","1120","USD","2024-04-25","1120","bank_transfer","TRX20240425SC","paid","8","false","2024-04-17T10:20:44","2024-04-25T12:31:22"
"INV-00041","SUP-00005","Global Office Supplies","US556677889","GOS-2024-0411","2024-04-18","2024-05-03","2024-04-19","540.25","USD","","","","","pending","","false","2024-04-19T08:15:10","2024-04-19T08:15:10"
"INV-00042","SUP-00038","Milan Fashion Group","IT112211223","MFG-2024-03","2024-04-21","2024-05-21","2024-04-22","75500","EUR","2024-05-20","75500","bank_transfer","TRX20240520MF","paid","28","false","2024-04-22T10:40:11","2024-05-20T13:22:10"
"INV-00043","SUP-00039","Pacific Seafood Corp.","","PSC-2024-29","2024-04-24","2024-05-09","2024-04-25","180","USD","","","","","cancelled","","false","2024-04-25T12:00:00","2024-04-25T12:00:00"
"INV-00044","SUP-00040","Northern Timber Works","CA998877665","NTW-2024-002","2024-04-27","2024-05-27","2024-04-28","2220","CAD","2024-05-07","2220","cash","CASH240507","paid","9","false","2024-04-28T14:20:00","2024-05-07T17:10:10"
"INV-00045","SUP-00009","LatAm Agro Products","BR442211889","LAP-2024-09","2024-04-30","2024-05-30","2024-05-01","1720000","BRL","","","","","overdue","","true","2024-05-01T08:08:08","2024-06-01T10:42:00"
"INV-00046","SUP-00041","EuroChem Logistics","DE445566778","ECL-24-0421","2024-05-03","2024-05-18","2024-05-04","3900","EUR","2024-05-17","3900","bank_transfer","SEPA20240517","paid","13","false","2024-05-04T09:09:00","2024-05-17T10:10:10"
"INV-00047","SUP-00042","Global Office Supplies","US556677889","GOS-2024-0510","2024-05-06","2024-05-21","2024-05-07","460","USD","2024-05-14","460","credit_card","CC20240514G","paid","7","false","2024-05-07T10:30:12","2024-05-14T11:11:11"
"INV-00048","SUP-00043","Blue Ridge Textiles","US998877321","BRT-INV-2024-5","2024-05-09","2024-05-24","2024-05-10","400","USD","","","","","pending","","false","2024-05-10T08:22:30","2024-05-10T08:22:30"
"INV-00049","SUP-00044","Apex Medical Devices","US110022334","AMD-2024-002","2024-05-12","2024-05-27","2024-05-13","2150","USD","2024-05-18","2150","bank_transfer","TRX20240518A","paid","5","false","2024-05-13T09:55:33","2024-05-18T13:23:45"
"INV-00050","SUP-00045","Helios Solar Systems","US777888999","HSS-INV-24-05","2024-05-15","2024-06-14","2024-05-16","41200","USD","","","","","overdue","","true","2024-05-16T14:10:10","2024-06-20T09:08:08"
"INV-10051","SUP-00420","AgroSupplies Global","DE293847562","ASG-2024-0461","2024-02-17","2024-03-18","2024-02-18","572.13","EUR","2024-02-25","572.13","bank_transfer","TRX975426","paid","7","false","2024-02-18T11:14:29","2024-02-25T15:32:47"
"INV-10052","SUP-11530","Pacific Export Ltd.","AU903847152","PE-2024-0223","2024-03-03","2024-03-24","2024-03-03","1024.55","USD","2024-03-11","1024.55","bank_transfer","TRX719310","paid","8","false","2024-03-03T09:44:13","2024-03-11T12:00:45"
"INV-10053","SUP-43521","Lakeside Office Supplies","US934837462","LOS-2024-1067","2024-01-19","2024-02-18","2024-01-20","342.9","USD","2024-02-21","342.9","cash","TRX201982","paid","32","true","2024-01-20T15:01:43","2024-02-21T17:28:59"
"INV-10054","SUP-00420","AgroSupplies Global","DE293847562","ASG-2024-0462","2024-03-22","2024-04-21","2024-03-22","1189","EUR","2024-04-03","1189","bank_transfer","TRX154902","paid","12","false","2024-03-22T12:04:49","2024-04-03T12:58:12"
"INV-10055","SUP-35759","Rapid-IT Services","IN983759241","RIS-2024-0155","2024-02-05","2024-03-07","2024-02-06","784.3","INR","2024-03-15","784.3","credit_card","TRX670120","paid","38","true","2024-02-06T09:55:11","2024-03-15T10:11:15"
"INV-10056","SUP-98213","Northern Light Minerals","SE403985612","NLM-2024-0872","2023-12-11","2024-01-10","2023-12-15","4750000","SEK","","","","","overdue","","true","2023-12-15T10:10:04","2024-03-18T11:02:49"
"INV-10057","SUP-18392","EastPoint Medical","US874920384","EPM-2024-0032","2024-02-09","2024-02-24","2024-02-10","251","USD","","","","","pending","","false","2024-02-10T13:21:15","2024-02-10T13:21:15"
"INV-10058","SUP-78401","TransWorld Logistics","GB478291036","TWL-2024-8412","2024-01-27","2024-02-26","2024-01-29","1235.62","GBP","2024-02-12","1235.62","check","","paid","14","false","2024-01-29T10:31:18","2024-02-12T11:27:32"
"INV-10059","SUP-00420","AgroSupplies Global","DE293847562","ASG-2024-0463","2024-04-01","2024-04-30","2024-04-02","950.55","EUR","2024-04-15","950.55","bank_transfer","TRX999212","paid","13","false","2024-04-02T09:40:58","2024-04-15T15:21:19"
"INV-10060","SUP-00259","BluePeak Energy","US582901734","BPE-2024-4051","2024-02-15","2024-03-16","2024-02-17","780000","USD","","","","","overdue","","true","2024-02-17T09:07:19","2024-04-25T12:52:01"
"INV-10061","SUP-73920","Urban Construction Group","FR759103847","UCG-2024-1772","2024-02-10","2024-03-12","2024-02-12","2300.4","EUR","2024-03-26","2300.4","bank_transfer","TRX406272","paid","43","true","2024-02-12T16:11:09","2024-03-26T13:33:31"
"INV-10062","SUP-18392","EastPoint Medical","US874920384","EPM-2024-0033","2024-03-15","2024-04-14","2024-03-16","164","USD","","","","","pending","","false","2024-03-16T09:13:57","2024-03-16T09:13:57"
"INV-10063","SUP-29581","Sunrise Stationers LLP","","SSL-2024-1901","2023-11-20","2023-12-20","2023-11-22","76","INR","","","","","cancelled","","false","2023-11-22T11:22:14","2023-11-22T11:22:14"
"INV-10064","SUP-98513","Visionary Media Lab","US102934857","VML-2024-0272","2024-02-22","2024-03-23","2024-02-23","1290.47","USD","2024-03-05","1290.47","bank_transfer","TRX401587","paid","11","false","2024-02-23T12:30:32","2024-03-05T13:08:41"
"INV-10065","SUP-18392","EastPoint Medical","US874920384","EPM-2024-0034","2024-02-27","2024-03-29","2024-02-27","300","USD","2024-03-15","120","cash","","partial","17","false","2024-02-27T10:10:41","2024-03-15T12:43:09"
"INV-10066","SUP-98213","Northern Light Minerals","SE403985612","NLM-2024-0873","2024-02-18","2024-03-19","2024-02-18","500000","SEK","","","","","pending","","false","2024-02-18T09:22:51","2024-02-18T09:22:51"
"INV-10067","SUP-35759","Rapid-IT Services","IN983759241","RIS-2024-0156","2024-03-04","2024-04-03","2024-03-05","298","INR","","","","","pending","","false","2024-03-05T09:12:18","2024-03-05T09:12:18"
"INV-10068","SUP-26419","Blue Ocean Technologies","CA482910273","BOT-2024-0056","2024-01-16","2024-02-15","2024-01-18","1015000","CAD","","","","","overdue","","true","2024-01-18T10:29:59","2024-04-25T10:01:11"
"INV-10069","SUP-00420","AgroSupplies Global","DE293847562","ASG-2024-0464","2024-04-15","2024-05-15","2024-04-16","890.76","EUR","2024-04-21","890.76","bank_transfer","TRX412380","paid","5","false","2024-04-16T12:10:22","2024-04-21T18:22:13"
"INV-10070","SUP-62213","Orion Health Distributors","US729103847","OHD-2024-0921","2024-01-22","2024-02-21","2024-01-22","500","USD","2024-02-05","500","cash","","paid","14","false","2024-01-22T16:14:22","2024-02-05T15:20:17"
"INV-10071","SUP-65251","GreenLeaf Agritech","BR849203741","GLA-2024-0034","2024-02-12","2024-03-14","2024-02-13","29800.5","BRL","","","","","pending","","false","2024-02-13T15:58:11","2024-02-13T15:58:11"
"INV-10072","SUP-35759","Rapid-IT Services","IN983759241","RIS-2024-0157","2024-03-14","2024-04-13","2024-03-15","167","INR","2024-03-26","100","other","TRX526193","partial","11","false","2024-03-15T10:15:42","2024-03-26T12:30:05"
"INV-10073","SUP-95381","AstraCom Networks","US023948571","ACN-2024-0285","2024-02-18","2024-03-20","2024-02-20","1450","USD","2024-02-28","1450","bank_transfer","TRX401955","paid","8","false","2024-02-20T17:09:09","2024-02-28T13:44:18"
"INV-10074","SUP-85291","NovaSteel Engineering","","NSE-2024-0084","2024-03-11","2024-04-10","2024-03-12","118000","USD","","","","","overdue","","true","2024-03-12T11:33:57","2024-05-01T10:02:13"
"INV-10075","SUP-29581","Sunrise Stationers LLP","","SSL-2024-1902","2024-01-10","2024-02-09","2024-01-11","150","INR","2024-01-31","150","cash","","paid","20","false","2024-01-11T13:20:42","2024-01-31T12:22:29"
"INV-10076","SUP-43521","Lakeside Office Supplies","US934837462","LOS-2024-1068","2024-03-06","2024-04-05","2024-03-08","253.8","USD","2024-03-13","253.8","cash","TRX500341","paid","5","false","2024-03-08T09:06:51","2024-03-13T12:31:45"
"INV-10077","SUP-11530","Pacific Export Ltd.","AU903847152","PE-2024-0224","2024-03-30","2024-04-29","2024-03-30","1750","USD","2024-04-05","1750","bank_transfer","TRX711293","paid","6","false","2024-03-30T10:47:19","2024-04-05T13:19:28"
"INV-10078","SUP-73920","Urban Construction Group","FR759103847","UCG-2024-1773","2024-03-17","2024-04-16","2024-03-18","2300.42","EUR","","","","","pending","","false","2024-03-18T09:46:31","2024-03-18T09:46:31"
"INV-10079","SUP-85291","NovaSteel Engineering","","NSE-2024-0085","2024-04-01","2024-05-01","2024-04-02","76","USD","","","","","cancelled","","false","2024-04-02T12:18:49","2024-04-02T12:18:49"
"INV-10080","SUP-78401","TransWorld Logistics","GB478291036","TWL-2024-8413","2024-04-08","2024-05-08","2024-04-09","1250","GBP","","","","","pending","","false","2024-04-09T08:25:16","2024-04-09T08:25:16"
"INV-10081","SUP-00420","AgroSupplies Global","DE293847562","ASG-2024-0465","2024-05-01","2024-05-31","2024-05-03","700","EUR","","","","","pending","","false","2024-05-03T09:11:22","2024-05-03T09:11:22"
"INV-10082","SUP-35759","Rapid-IT Services","IN983759241","RIS-2024-0158","2024-04-14","2024-05-14","2024-04-15","296","INR","","","","","pending","","false","2024-04-15T12:19:23","2024-04-15T12:19:23"
"INV-10083","SUP-11530","Pacific Export Ltd.","AU903847152","PE-2024-0225","2024-04-10","2024-05-10","2024-04-10","1500","USD","","","","","pending","","false","2024-04-10T15:12:32","2024-04-10T15:12:32"
"INV-10084","SUP-29581","Sunrise Stationers LLP","","SSL-2024-1903","2024-03-11","2024-04-10","2024-03-12","152.78","INR","2024-03-20","152.78","cash","TRX111234","paid","8","false","2024-03-12T08:23:11","2024-03-20T11:40:26"
"INV-10085","SUP-65251","GreenLeaf Agritech","BR849203741","GLA-2024-0035","2024-03-19","2024-04-18","2024-03-19","32000","BRL","","","","","overdue","","true","2024-03-19T15:48:17","2024-05-01T10:22:33"
"INV-10086","SUP-98213","Northern Light Minerals","SE403985612","NLM-2024-0874","2024-04-18","2024-05-18","2024-04-20","890000","SEK","","","","","pending","","false","2024-04-20T13:59:17","2024-04-20T13:59:17"
"INV-10087","SUP-26419","Blue Ocean Technologies","CA482910273","BOT-2024-0057","2024-04-13","2024-05-13","2024-04-13","2000000","CAD","","","","","overdue","","true","2024-04-13T11:31:47","2024-05-01T13:55:09"
"INV-10088","SUP-62213","Orion Health Distributors","US729103847","OHD-2024-0922","2024-03-01","2024-03-31","2024-03-01","400","USD","2024-03-15","400","cash","","paid","14","false","2024-03-01T09:45:11","2024-03-15T13:12:29"
"INV-10089","SUP-95381","AstraCom Networks","US023948571","ACN-2024-0286","2024-04-06","2024-05-06","2024-04-07","2100","USD","2024-04-20","2100","bank_transfer","TRX892133","paid","13","false","2024-04-07T10:12:51","2024-04-20T13:33:19"
"INV-10090","SUP-78401","TransWorld Logistics","GB478291036","TWL-2024-8414","2023-12-30","2024-01-29","2024-01-02","300","GBP","","","","","cancelled","","false","2024-01-02T11:33:15","2024-01-02T11:33:15"
"INV-10091","SUP-29581","Sunrise Stationers LLP","","SSL-2024-1904","2024-04-06","2024-05-06","2024-04-06","0","INR","","","","","cancelled","","false","2024-04-06T08:11:35","2024-04-06T08:11:35"
"INV-10092","SUP-73920","Urban Construction Group","FR759103847","UCG-2024-1774","2024-04-13","2024-05-13","2024-04-14","2500","EUR","","","","","pending","","false","2024-04-14T12:15:50","2024-04-14T12:15:50"
"INV-10093","SUP-62213","Orion Health Distributors","US729103847","OHD-2024-0923","2024-04-02","2024-05-02","2024-04-03","600","USD","2024-04-13","600","cash","","paid","10","false","2024-04-03T14:32:17","2024-04-13T13:40:19"
"INV-10094","SUP-00420","AgroSupplies Global","DE293847562","ASG-2024-0466","2024-05-05","2024-06-04","2024-05-05","1150","EUR","","","","","pending","","false","2024-05-05T12:11:19","2024-05-05T12:11:19"
"INV-10095","SUP-98213","Northern Light Minerals","SE403985612","NLM-2024-0875","2024-05-02","2024-06-01","2024-05-02","430000","SEK","","","","","pending","","false","2024-05-02T15:33:32","2024-05-02T15:33:32"
"INV-10096","SUP-43521","Lakeside Office Supplies","US934837462","LOS-2024-1069","2024-04-11","2024-05-11","2024-04-12","287","USD","2024-04-28","287","cash","TRX506912","paid","16","false","2024-04-12T12:44:23","2024-04-28T16:23:12"
"INV-10097","SUP-26419","Blue Ocean Technologies","CA482910273","BOT-2024-0058","2024-05-02","2024-06-01","2024-05-02","800000","CAD","","","","","pending","","false","2024-05-02T16:13:27","2024-05-02T16:13:27"
"INV-10098","SUP-11530","Pacific Export Ltd.","AU903847152","PE-2024-0226","2024-05-13","2024-06-12","2024-05-14","1650","USD","","","","","pending","","false","2024-05-14T09:15:28","2024-05-14T09:15:28"
"INV-10099","SUP-95381","AstraCom Networks","US023948571","ACN-2024-0287","2024-05-10","2024-06-09","2024-05-12","1672.83","USD","","","","","pending","","false","2024-05-12T13:11:12","2024-05-12T13:11:12"
"INV-10100","SUP-85291","NovaSteel Engineering","","NSE-2024-0086","2024-05-12","2024-06-11","2024-05-13","120000","USD","","","","","overdue","","true","2024-05-13T14:09:21","2024-06-18T13:10:11"
"INV-01051","SUP-30015","Riverside Office Supplies","US902118274","RSO-2024-1783","2024-02-12","2024-03-13","2024-02-14","342","USD","2024-02-23","342","bank_transfer","TRX20240223A1","paid","9","false","2024-02-14T10:39:11","2024-02-23T15:31:34"
"INV-01052","SUP-07834","Global Chemical Partners","DE208374601","GCP-INV-426","2024-01-11","2024-02-10","2024-01-13","14623.49","EUR","2024-03-05","14623.49","credit_card","GCP20240305TRX","paid","52","true","2024-01-13T13:52:41","2024-03-05T17:42:18"
"INV-01053","SUP-01112","Rapid-IT Services","US192834761","RIT-2024-101","2024-02-19","2024-03-20","2024-02-20","880","USD","2024-03-01","880","bank_transfer","TRX20240301Z9","paid","10","false","2024-02-20T11:17:06","2024-03-01T13:03:51"
"INV-01054","SUP-50042","Eastern Technologies Ltd","CN812736492","ETL-INV-2892","2023-12-04","2024-01-03","2023-12-06","2985000","CNY","","","","","overdue","","true","2023-12-06T09:21:10","2024-03-15T10:12:08"
"INV-01055","SUP-30015","Riverside Office Supplies","US902118274","RSO-2024-1787","2024-03-20","2024-04-19","2024-03-22","593.14","USD","","","","","pending","","false","2024-03-22T08:02:11","2024-03-22T08:02:11"
"INV-01056","SUP-84519","Greenfield Paper Co.","","GP-2024-0081","2024-03-01","2024-03-31","2024-03-03","210.5","GBP","2024-03-12","210.5","cash","TRX20240312GFP","paid","9","false","2024-03-03T15:45:22","2024-03-12T09:10:45"
"INV-01057","SUP-41120","Northland Foods","SE765432109","NF-2024-1002","2024-02-25","2024-03-26","2024-02-27","1894.5","SEK","2024-04-18","1894.5","bank_transfer","TRX20240418NF","paid","51","true","2024-02-27T16:33:55","2024-04-18T11:05:28"
"INV-01058","SUP-06590","Pacific Textiles Corp.","IN982173561","PTC-2024-54","2024-01-18","2024-02-17","2024-01-19","825","INR","","","","","pending","","true","2024-01-19T10:59:03","2024-03-20T12:43:12"
"INV-01059","SUP-01112","Rapid-IT Services","US192834761","RIT-2024-107","2024-03-01","2024-03-31","2024-03-04","1400","USD","","","","","pending","","false","2024-03-04T14:13:07","2024-03-04T14:13:07"
"INV-01060","SUP-15301","Silverline Shipping Ltd.","GB281746920","SSL-2024-202","2023-12-15","2024-01-14","2023-12-17","378000","GBP","","","","","overdue","","true","2023-12-17T10:20:01","2024-03-18T19:12:09"
"INV-01061","SUP-43106","Oceanic Engineering","JP093847210","OE-2024-0115","2024-01-10","2024-02-09","2024-01-13","15000","JPY","2024-02-12","15000","check","TRX20240212OE","paid","30","true","2024-01-13T08:23:56","2024-02-12T16:18:47"
"INV-01062","SUP-70018","Urban Waterworks, Inc.","","UW-2024-08","2024-03-05","2024-04-04","2024-03-07","127","CAD","2024-03-22","127","other","","paid","15","false","2024-03-07T09:05:01","2024-03-22T13:32:20"
"INV-01063","SUP-90114","Sunrise Petroleum Ltd","BR982173650","SP-2024-201","2024-02-10","2024-03-11","2024-02-12","3210000","BRL","","","","","overdue","","true","2024-02-12T10:18:33","2024-03-15T17:02:17"
"INV-01064","SUP-07834","Global Chemical Partners","DE208374601","GCP-INV-430","2024-03-03","2024-04-02","2024-03-05","450","EUR","","","","","pending","","false","2024-03-05T11:25:18","2024-03-05T11:25:18"
"INV-01065","SUP-63177","BluePeak Supplies","US412987632","BP-2024-0032","2024-02-18","2024-03-20","2024-02-20","176.89","USD","2024-02-28","176.89","cash","TRX20240228BP","paid","8","false","2024-02-20T10:02:34","2024-02-28T13:01:47"
"INV-01066","SUP-08123","Western Electric Group","US431876592","WEG-2024-220","2024-01-27","2024-02-26","2024-01-29","5000000","USD","","","","","overdue","","true","2024-01-29T16:11:12","2024-03-20T10:45:55"
"INV-01067","SUP-90023","Starlight Energy Plc","GB385920174","SE-2024-102","2024-02-21","2024-03-23","2024-02-22","123.45","GBP","2024-02-27","123.45","bank_transfer","TRX20240227SE","paid","5","false","2024-02-22T12:36:19","2024-02-27T14:22:31"
"INV-01068","SUP-06590","Pacific Textiles Corp.","IN982173561","PTC-2024-59","2024-03-10","2024-04-09","2024-03-11","223","INR","","","","","cancelled","","false","2024-03-11T08:53:44","2024-03-11T08:53:44"
"INV-01069","SUP-01112","Rapid-IT Services","US192834761","RIT-2024-111","2024-03-12","2024-04-11","2024-03-13","1725","USD","2024-04-10","1000","other","TRX20240410RITP","partial","28","false","2024-03-13T10:13:09","2024-04-10T10:13:09"
"INV-01070","SUP-43106","Oceanic Engineering","JP093847210","OE-2024-0116","2024-03-01","2024-03-31","2024-03-03","900","JPY","2024-03-13","900","bank_transfer","TRX20240313OE","paid","10","false","2024-03-03T11:11:57","2024-03-13T14:21:11"
"INV-01071","SUP-41120","Northland Foods","SE765432109","NF-2024-1009","2024-03-12","2024-04-11","2024-03-13","1299.99","SEK","2024-04-18","1299.99","check","TRX20240418NFB","paid","36","true","2024-03-13T09:43:01","2024-04-18T16:01:13"
